fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
01001,57.39291474998507,small/mid,601.07,19.865935405240705,No Prison,5.2,56580,10.750059385400256,32.8,40.7,8.662106703146375
01003,49.32270916334661,small/mid,708.59,10.193271969679135,Has State,5.5,52387,8.876840491054763,30.3,44.5,8.600627783049857
01005,52.414643645332994,rural,971.9,50.433255269320846,Has State,8.9,31433,10.254674634788307,30.3,47.4,14.355161567057477
01007,32.30200100891206,suburban,384.82,24.810853117662404,Has State,6.6,40767,10.581162606921692,26.9,39.8,5.125777657560184
01009,6.129774505292223,suburban,315.39,1.672928722266407,No Prison,5.4,50487,11.08761351921136,26.1,41.1,7.120595848079869
01013,37.62277894272155,rural,1288.84,46.026725705700954,No Prison,7.6,33868,9.747541855812832,30.9,43.9,9.821200510855684
01015,20.158781744742097,small/mid,1057.17,22.108277900960825,No Prison,7,42091,11.537665339324814,31.1,45.5,10.328929112681168
01017,51.042474368915315,rural,932.35,41.66628392963763,No Prison,6,35560,10.829955177398622,32.3,40.2,9.484278577725537
01019,16.350762527233115,rural,775.73,4.848295276822021,No Prison,5.4,39144,11.300526567581125,30.2,44.4,8.866308029487946
01023,51.120559198674066,rural,829.37,44.10293938285157,No Prison,9.1,35089,9.434514747217808,32.8,47.7,11.041043882467791
01025,49.4119210578776,rural,1024.43,46.869432425553576,No Prison,11.7,37317,9.382479462434027,30.4,52.4,8.162415408641333
01031,14.72513769094877,rural,626.01,18.394262618895677,Has State,6,46858,9.773843108553818,27,44.7,10.598189899855406
01035,43.16152418000177,rural,556.2,48.48014487129738,No Prison,9.2,29981,9.39506524567789,40.6,47.5,11.575303765265154
01037,27.043013542261196,rural,1296.32,32.732140340989154,No Prison,6.7,36078,10.656557054931447,24.8,44.1,9.28691632115009
01039,12.691296954707065,rural,1696.89,13.665532538007666,No Prison,7.1,36355,9.337875375102506,26.3,45.8,9.134914597883963
01045,14.831515946544233,rural,592.85,21.279799247176914,No Prison,6.4,45294,9.934314575634861,27.2,41.4,10.787017394993637
01047,76.6096654275093,rural,788.34,71.61572052401746,No Prison,9.6,29682,10.124318103896998,36.5,50.5,16.41405240277288
01049,7.921531994395142,rural,415.35,1.7100059651370878,No Prison,6.1,37305,10.93280446815318,22.9,45.8,9.362860918665652
01057,13.252918287937742,rural,739.39,12.569617822162474,No Prison,7,37085,9.915297314536268,30.8,42.8,8.233455747788941
01059,45.60584098351855,rural,613.96,4.287710891484477,No Prison,6.4,38535,9.736024649412583,26.5,41.3,9.539041994750656
01063,76.47039761495836,rural,647.74,82.24423699752333,No Prison,11.1,25398,9.894260224329988,33,53.5,16.348307351828485
01067,29.71577959511999,small/mid,954,28.6577878530273,No Prison,6.8,42501,10.070679498871202,26.8,45.3,9.743153238382469
01071,18.62385822895586,rural,502.09,3.7130573344156823,No Prison,6.6,40201,10.52265498207549,26.4,44.3,7.113445974726679
01073,22.55235824961689,urban,929.78,44.12019310041588,Has State,5.8,48415,12.07519189840447,32.2,49,11.2716372667452
01077,38.67393800229621,small/mid,568.37,10.797392176529588,No Prison,6.9,43008,10.216168266632803,29.3,46.5,7.835675795789123
01079,48.57245080500894,small/mid,723.93,11.40068189248517,No Prison,7.7,41771,10.447348902717582,24.1,37.9,8.938547486033519
01083,52.822422579380635,small/mid,324.31,14.744807704907291,Has State,5.5,55060,10.727342512369018,28.4,42.6,7.491282522895352
01085,69.77918891614951,small/mid,882.26,75.08366291451172,No Prison,11.5,31117,10.021454205060156,33.1,50.3,15.244229426955009
01087,67.81583463920603,rural,1082.89,82.4296499656829,No Prison,8,29522,10.734420556802112,32.8,49.7,13.218317899276926
01089,55.09432535631923,small/mid,673.43,26.093125457779635,No Prison,5.5,59117,10.809581788125895,28.5,44.4,10.013532916343472
01091,78.30675948798562,rural,787.98,53.79366368805849,No Prison,7.6,35389,9.810037753551102,30.1,51.6,12.94626758023801
01093,11.47379717402969,rural,1078.3,4.7434399235100395,Has State,6.9,34977,9.741598341666394,30.1,45.9,9.211849330961405
01095,15.873430962343097,rural,518.66,2.593282642630545,No Prison,5.8,40599,10.972563383893844,27.8,46.8,9.828630566462728
01097,27.657970873550365,small/mid,1123.98,36.04677310546436,No Prison,6.9,42530,9.463033838398049,33.4,47.6,12.817113348756736
01099,55.56264760324249,rural,617.51,43.63240101707228,No Prison,10.1,35163,9.335473943548037,28.9,48.2,12.23348110618535
01101,66.03721033868094,small/mid,1242.86,59.76453147852789,No Prison,6.1,42666,10.967310341190883,31.9,49.6,13.912405463370584
