GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",16739,125,118,470,421,530,523,517,480,381,448,617,665,398,355,262,224,181,146,84,73,35,30,9,9,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,128,149,564,680,672,685,673,636,475,541,866,910,552,563,368,380,183,203,145,143,35,25,12,10,3,5,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",7530,68,61,247,198,249,241,200,212,192,148,437,287,308,180,203,111,80,47,56,33,13,9,3,2,0,0,0,0,0,0,2,2,8,7,15,12,12,8,3,7,13,13,7,10,2,5,2,3,1,4,2,2,0,0,0,0,0,0,0,0,50,59,194,195,206,200,198,188,219,168,662,277,374,153,182,95,106,74,50,23,17,8,5,5,2,2,1,1,0,0,2,1,6,5,2,7,7,7,8,4,17,7,2,1,1,3,1,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",30812,261,232,922,941,1115,1066,1088,1050,831,886,1315,1232,803,753,587,470,332,276,163,155,56,53,15,17,0,5,1,0,1,3,1,0,3,2,4,3,4,0,3,0,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,278,298,1131,1221,1176,1268,1169,1089,930,907,1450,1471,877,941,535,510,245,245,138,136,44,42,15,20,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",11894,145,146,534,536,637,614,591,564,458,503,668,699,392,401,257,239,197,133,114,91,41,36,7,16,2,4,2,0,0,0,1,0,2,1,3,7,2,3,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,58,289,304,306,302,303,308,221,227,334,304,174,215,119,109,56,69,36,34,8,9,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","1860","Alabama","010","Blount","0090","Blount",10865,186,186,732,721,865,810,771,712,615,578,809,850,497,547,315,330,195,164,123,96,45,28,9,6,3,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,53,51,54,72,52,58,37,47,47,58,15,35,19,22,6,12,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","1860","Alabama","010","Butler","0130","Butler",18122,204,174,825,690,917,825,829,737,630,648,982,995,638,598,394,325,227,213,157,114,62,47,14,11,2,2,0,0,0,0,1,0,4,4,4,3,3,1,3,3,5,3,2,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,100,94,467,473,495,506,479,493,431,450,697,647,342,335,219,221,105,96,49,63,14,21,7,5,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",21539,297,284,1174,1071,1323,1334,1263,1211,968,1100,1455,1477,889,883,570,566,372,347,198,178,84,71,28,20,2,3,0,0,1,0,0,0,2,3,2,4,2,2,2,0,1,3,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,69,86,320,324,380,362,344,321,248,289,315,368,198,239,128,134,55,44,34,46,15,14,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",23214,159,140,721,695,865,827,843,783,697,715,981,957,558,555,387,389,302,255,154,153,76,65,17,13,3,3,0,1,1,0,5,0,6,7,4,3,2,1,0,4,3,6,0,1,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,165,176,873,857,951,946,920,815,708,753,1055,1077,539,606,333,368,200,198,105,98,38,34,16,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",18360,267,260,1033,997,1170,1206,1169,1079,845,885,1214,1342,748,795,550,534,377,292,193,168,65,69,13,7,2,5,1,1,18,16,1,1,2,1,4,1,3,4,3,3,0,3,1,1,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,1,45,66,243,198,226,250,234,217,178,183,268,269,132,139,78,102,42,50,21,30,7,11,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",13877,97,98,461,397,539,549,499,467,407,374,597,589,377,343,264,206,184,110,78,71,34,20,2,3,0,1,0,0,0,0,1,0,1,1,2,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,90,113,504,546,539,506,510,497,415,403,680,620,366,428,253,254,88,95,86,57,18,15,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
